1460693356,6,1
1460693357,19,1
1460693358,20,1
1460693359,20,1
1460693360,20,1
1460693361,19,1
1460693362,20,1
1460693363,10,1
1460693364,15,1
1460693365,20,1
1460693366,20,1
1460693367,20,1
1460693368,20,1
1460693369,20,1
1460693370,20,1
1460693371,20,1
1460693372,20,1
1460693373,20,1
1460693374,20,1
1460693375,20,1
1460693376,20,1
1460693377,20,1
1460693378,21,1
1460693379,20,1
1460693380,20,1
1460693381,20,1
1460693382,20,1
1460693383,20,1
1460693384,19,1
1460693385,20,1
1460693386,20,1
1460693387,20,1
1460693388,20,1
1460693389,20,1
1460693390,20,1
1460693391,1,1
1460693408,4,17
1460693409,20,1
1460693410,8,1
1460693412,2,2
1460693413,4,1
1460693414,2,1
1460693416,7,2
1460693417,1,1
1460693418,2,1
1460693419,8,1
1460693429,20,10
1460693430,20,1
1460693431,20,1
1460693432,20,1
1460693433,3,1
1460693442,13,9
1460693443,3,1
1460693445,16,2
1460693446,20,1
1460693447,1,1
1460693453,4,6
1460693470,4,17
1460693471,6,1
1460693472,16,1
1460693473,20,1
1460693474,21,1
1460693475,20,1
1460693476,14,1
1460693477,14,1
1460693478,20,1
1460693479,20,1
1460693480,20,1
1460693481,20,1
1460693482,20,1
1460693483,20,1
1460693484,20,1
1460693485,20,1
1460693486,20,1
1460693487,20,1
1460693488,20,1
1460693489,20,1
1460693490,20,1
1460693491,20,1
1460693492,20,1
1460693493,20,1
1460693494,20,1
1460693495,20,1
1460693496,20,1
1460693497,1,1
1460693499,13,2
1460693500,20,1
1460693501,20,1
1460693502,20,1
1460693503,20,1
1460693504,20,1
1460693505,20,1
1460693506,20,1
1460693507,20,1
1460693508,20,1
1460693509,20,1
1460693510,20,1
1460693511,20,1
1460693512,20,1
1460693513,18,1
1460693514,18,1
1460693515,20,1
1460693516,20,1
1460693517,20,1
1460693518,20,1
1460693519,20,1
1460693520,21,1
1460693521,20,1
1460693522,20,1
1460693523,20,1
1460693524,20,1
1460693525,20,1
1460693526,20,1
1460693527,6,1
1460693529,4,2
1460693530,19,1
1460693531,20,1
1460693532,20,1
1460693533,20,1
1460693534,20,1
1460693535,20,1
1460693536,20,1
1460693537,20,1
1460693538,20,1
1460693539,20,1
1460693540,20,1
1460693541,20,1
1460693542,14,1
1460693543,20,1
1460693544,20,1
1460693545,20,1
1460693546,20,1
1460693547,20,1
1460693548,20,1
1460693549,20,1
1460693550,20,1
1460693551,20,1
1460693552,20,1
1460693553,20,1
1460693554,20,1
1460693555,20,1
1460693556,20,1
1460693557,20,1
1460693558,20,1
1460693559,20,1
1460693560,20,1
1460693561,20,1
1460693562,20,1
1460693563,20,1
1460693564,20,1
1460693565,20,1
1460693566,21,1
1460693567,20,1
1460693568,20,1
1460693569,20,1
1460693570,20,1
1460693571,20,1
1460693572,20,1
1460693573,20,1
1460693574,20,1
1460693575,20,1
1460693576,18,1
1460693577,4,1
1460693578,18,1
1460693579,20,1
1460693580,20,1
1460693581,20,1
1460693582,20,1
1460693583,20,1
1460693584,20,1
1460693585,20,1
1460693586,15,1
1460693587,20,1
1460693588,20,1
1460693589,20,1
1460693590,20,1
1460693591,20,1
1460693592,20,1
1460693593,20,1
1460693594,20,1
1460693595,20,1
1460693596,20,1
1460693597,20,1
1460693598,20,1
1460693599,20,1
1460693600,20,1
1460693601,20,1
1460693602,20,1
1460693603,20,1
1460693604,20,1
1460693605,20,1
1460693606,20,1
1460693607,20,1
1460693608,20,1
1460693609,20,1
1460693610,16,1
1460693623,3,13
1460693624,20,1
1460693625,20,1
1460693626,20,1
1460693627,20,1
1460693628,20,1
1460693629,20,1
1460693630,20,1
1460693631,20,1
1460693632,20,1
1460693633,20,1
1460693634,20,1
1460693635,20,1
1460693636,20,1
1460693637,20,1
1460693638,20,1
1460693639,20,1
1460693640,20,1
1460693641,20,1
1460693642,20,1
1460693643,20,1
1460693644,20,1
1460693645,20,1
1460693646,20,1
1460693647,20,1
1460693648,20,1
1460693649,20,1
1460693650,20,1
1460693651,20,1
1460693652,20,1
1460693653,20,1
1460693654,20,1
1460693655,20,1
1460693656,20,1
1460693657,20,1
1460693658,20,1
1460693659,20,1
1460693660,20,1
1460693661,21,1
